GEOID20,District
340130028001002,29
340130028001003,29
340130028001004,29
340130028001005,29
340130028001006,29
340130028001010,29
340130038002000,29
340130038002001,29
340130038002002,29
340130038002003,29
340130038002004,29
340130038002005,29
340130038002011,29
340130230001008,29
340130230001009,29
340130230001010,29
340130230002006,29
340130230002007,29
340130230002008,29
340130230002009,29
340130230002010,29
340130057001045,29
340130227002000,29
340130227002002,29
340130227002003,29
340130057001029,29
340130057001030,29
340130057001031,29
340130057001032,29
340130057001033,29
340130057001034,29
340130057001035,29
340130057001036,29
340130057001037,29
340130057001038,29
340130057001039,29
340130057001040,29
340130057001041,29
340130057001042,29
340130057001043,29
340130057001044,29
340130057001046,29
340130057001047,29
340130057001048,29
340130057001049,29
340130057001050,29
340130057001051,29
340130057001052,29
340130057001053,29
340130057001054,29
340130057001055,29
340130057002001,29
340130057002004,29
340130057002005,29
340130227002001,29
340130227002004,29
340130227003003,29
340130227003007,29
340130227003008,29
340130227003009,29
340130227003010,29
340130227003011,29
340130227003012,29
340139802001017,29
340139802001021,29
340139802001022,29
340139802001023,29
340139802001024,29
340139802001061,29
340139802001062,29
340139802001063,29
340139802001064,29
340139802001065,29
340139802001066,29
340139802001067,29
340139802001068,29
340139802001071,29
340139802001072,29
340139802001073,29
340139802001074,29
340139802001075,29
340139802001076,29
340139802001077,29
340139802001078,29
340139802001079,29
340139802001080,29
340139802001081,29
340139802001110,29
340139802001111,29
340139802001112,29
340139802001113,29
340139802001114,29
340139802001115,29
340139802001116,29
340139802001117,29
340139802001118,29
340139802001119,29
340139802001120,29
340139802001121,29
340139802001124,29
340139802001126,29
340130018001001,29
340130018001003,29
340130018001004,29
340130038001004,29
340130038001005,29
340130038001006,29
340130038001007,29
340130028001007,29
340130028001008,29
340130028001009,29
340130028001011,29
340130028001012,29
340130028001013,29
340130028001014,29
340130038002009,29
340130038002010,29
340130018001000,29
340130018001002,29
340130018001005,29
340130018001006,29
340130018002000,29
340130018002001,29
340130018002002,29
340130018002003,29
340130018002004,29
340130018002005,29
340130018002006,29
340130018002007,29
340130018002008,29
340170031012000,31
340170031022002,31
340170027003001,31
340170027003002,31
340170027003003,31
340170027003004,31
340170040001000,31
340170040001001,31
340170040001002,31
340170040001003,31
340170040001004,31
340170040001005,31
340170040001006,31
340170040001008,31
340170030002002,31
340170030002003,31
340170030003001,31
340170030003002,31
340170064002001,31
340170065001016,31
340170073002003,31
340170073002011,31
340170073002016,31
340170073002014,31
340170073002015,31
340170027002001,31
340170027002002,31
340170027002007,31
340170027004003,31
340170027004004,31
340170028005001,31
340170064002000,31
340170030003003,32
340170030003004,32
340170031011000,32
340170031012001,32
340170031012002,32
340170031022001,32
340170027001008,32
340170027001010,32
340170027001011,32
340170027001012,32
340170030002001,32
340170064003004,32
340170064003005,32
340170065001017,32
340170073001000,32
340170073001001,32
340170073001002,32
340170073002000,32
340170073002001,32
340170073002002,32
340170074002000,32
340170074002001,32
340170074002002,32
340170075004000,32
340170075004001,32
340170075004002,32
340170075004003,32
340170027001013,32
340170028005000,32
340170064001000,32
340170064001001,32
340170064001002,32
340170064001003,32
340170064001004,32
340170064001005,32
